postalCode,lat,lng
22997,30.6939,-115.8968
21000,31.7497,-115.1105
21010,31.4225,-114.9991
21020,31.7497,-115.1105
21030,31.7379,-115.1637
21038,31.7497,-115.1105
21039,31.7497,-115.1105
21040,31.7379,-115.1637
21050,32.0769,-115.2219
21060,31.7497,-115.1105
21070,31.7497,-115.1105
21079,31.7379,-115.1637
21080,31.7379,-115.1637
21090,31.7497,-115.1105
21100,32.5549,-115.5182
21110,32.6589,-115.5625
21120,32.5549,-115.5182
21130,32.6308,-115.5422
21135,32.6358,-115.5394
21137,32.569,-115.3702
21138,31.7379,-115.1637
21139,31.7379,-115.1637
21140,31.7379,-115.1637
21147,32.5549,-115.5182
21150,31.7379,-115.1637
21160,32.1146,-115.8404
21165,32.413,-115.5561
21170,31.7379,-115.1637
21178,32.5549,-115.5182
21179,32.5549,-115.5182
21180,32.5609,-115.5561
21185,31.7379,-115.1637
21188,32.5414,-115.5275
21190,32.6269,-115.5467
21200,32.586,-115.3036
21210,31.7379,-115.1637
21215,32.5327,-115.3421
21216,32.5327,-115.3421
21217,32.5327,-115.3421
21218,32.6606,-115.3784
21219,32.5327,-115.3421
21220,32.659,-115.4005
21224,32.659,-115.4005
21225,32.659,-115.4005
21226,32.659,-115.4005
21229,32.659,-115.4005
21230,32.6426,-114.8255
21239,32.6426,-114.8255
21240,31.7379,-115.1637
21250,32.3118,-115.0385
21254,32.5346,-115.0741
21255,32.5346,-115.0741
21257,32.5346,-115.0741
21258,32.5346,-115.0741
21259,32.6458,-115.3852
21260,32.586,-115.3036
21270,32.586,-115.3036
21279,32.586,-115.3036
21280,32.6192,-115.5878
21285,32.6192,-115.5878
21289,32.6192,-115.5878
21290,32.6291,-115.4223
21297,31.7379,-115.1637
21298,31.7379,-115.1637
21299,32.6123,-115.4948
21300,31.7379,-115.1637
21307,32.5464,-115.3549
